Gestionnaire,RaisonSociale,categ,info_categ,Commune,NomCommune,Pollution,PopLegaleTotale,
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31140,Chein Dessus,O,197,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31141,Ciadoux,O,252,1
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31142,Cier de Luchon,O,249,1
31143000A,COMMUNE DE CIER DE RIVIERE ,2A01,Communes du bassin,31143,Cier de Rivière,O,259,1
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31144,Cierp Gaud,O,942,1
31396001B,SYNDICAT INTERCOMMUNAL DES EAUX DES COTEAUX HERS-ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31145,Cintegabelle,O,2631,1
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31146,Cirès,O,12,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31147,Clarac,O,584,1
31254002B,COMMUNAUTE D'AGGLOMERATION DU SICOVAL ,3H01,Communautés d'agglomérations,31148,Clermont le Fort,O,533,1
31555472A,COMMUNAUTE URBAINE TOULOUSE METROPOLE ,3G01,Communautés urbaines,31149,Colomiers,O,33494,1
31555472A,COMMUNAUTE URBAINE TOULOUSE METROPOLE ,3G01,Communautés urbaines,31150,Cornebarrieu,O,5688,1
31254002B,COMMUNAUTE D'AGGLOMERATION DU SICOVAL ,3H01,Communautés d'agglomérations,31151,Corronsac,O,685,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31152,Coueilles,O,90,1
09272001A,SYNDICAT MIXTE DEPARTEMENTAL EAU ASSAINISSEMENT DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31153,Couladère,O,442,1
31135002A,REGIE D'EAU ET D'ASSAINISSEMENT DE CAZERES-COULADERE,2C02,Eau ou assainissement,31153,Couladère,O,442,0
31315001B,S.I. EAUX ET ASSAINISSEMENT DES VALLEES DE L'ARBAS ET BAS SALAT,3D04,"Syndicat d'assainisement, eau potable",31155,Couret,O,196,2
31351001A,S.I. DES EAUX DE LA VALLEE DE LA SAVE ET DES COTEAUX DE CADOURS,3D04,"Syndicat d'assainisement, eau potable",31156,Cox,O,331,1
31555472A,COMMUNAUTE URBAINE TOULOUSE METROPOLE ,3G01,Communautés urbaines,31157,Cugnaux,O,16128,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31158,Cuguron,O,195,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31159,Cuing,O,406,1
31351001A,S.I. DES EAUX DE LA VALLEE DE LA SAVE ET DES COTEAUX DE CADOURS,3D04,"Syndicat d'assainisement, eau potable",31160,Daux,O,1746,1
31254002B,COMMUNAUTE D'AGGLOMERATION DU SICOVAL ,3H01,Communautés d'agglomérations,31161,Deyme,O,904,1
31254002B,COMMUNAUTE D'AGGLOMERATION DU SICOVAL ,3H01,Communautés d'agglomérations,31162,Donneville,O,1118,1
31555472A,COMMUNAUTE URBAINE TOULOUSE METROPOLE ,3G01,Communautés urbaines,31163,Drémil Lafage,O,2638,1
31351001A,S.I. DES EAUX DE LA VALLEE DE LA SAVE ET DES COTEAUX DE CADOURS,3D04,"Syndicat d'assainisement, eau potable",31164,Drudas,O,189,1
31421002A,S.I.V.O.M. PLAINE ARIEGE-GARONNE ,3D04,"Syndicat d'assainisement, eau potable",31165,Eaunes,O,4433,1
31555052B,VEOLIA EAU - COMPAGNIE GENERALE DES EAUX ,9A01,Industriels,31165,Eaunes,O,4433,0
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31166,Empeaux,O,218,1
31020001A,SYNDICAT DES EAUX ET DE L'ASSAINISSEMENT DE LA VALLEE DU JOB,3D04,"Syndicat d'assainisement, eau potable",31167,Encausse les Thermes,O,654,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31168,Eoux,O,117,1
31254002B,COMMUNAUTE D'AGGLOMERATION DU SICOVAL ,3H01,Communautés d'agglomérations,31169,Escalquens,O,5835,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31170,Escanecrabe,O,255,1
31254002B,COMMUNAUTE D'AGGLOMERATION DU SICOVAL ,3H01,Communautés d'agglomérations,31171,Espanès,O,276,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31172,Esparron,O,51,1
09272001A,SYNDICAT MIXTE DEPARTEMENTAL EAU ASSAINISSEMENT DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31173,Esperce,O,248,1
31206001A,S.I. DES EAUX DE LA RIVE GAUCHE DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31173,Esperce,O,248,0
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31174,Estadens,O,503,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31175,Estancarbon,O,575,1
31176000A,COMMUNE D'ESTENOS ,2A01,Communes du bassin,31176,Esténos,O,183,1
31471001A,S.I. DES EAUX DE LA REGION DE ST BEAT ,3D04,"Syndicat d'assainisement, eau potable",31177,Eup,O,146,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31178,Fabas,O,217,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31179,Faget,O,356,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31180,Falga,O,105,1
09272001A,SYNDICAT MIXTE DEPARTEMENTAL EAU ASSAINISSEMENT DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31181,Fauga,O,1714,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31181,Fauga,O,1714,0
31555052B,VEOLIA EAU - COMPAGNIE GENERALE DES EAUX ,9A01,Industriels,31182,Fenouillet,O,5144,1
31315001B,S.I. EAUX ET ASSAINISSEMENT DES VALLEES DE L'ARBAS ET BAS SALAT,3D04,"Syndicat d'assainisement, eau potable",31183,Figarol,O,286,1
31555472A,COMMUNAUTE URBAINE TOULOUSE METROPOLE ,3G01,Communautés urbaines,31184,Flourens,O,1795,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31185,Folcarde,O,122,1
31555052B,VEOLIA EAU - COMPAGNIE GENERALE DES EAUX ,9A01,Industriels,31186,Fonbeauzard,O,2849,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31187,Fonsorbes,O,11373,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31188,Fontenilles,O,3979,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31189,Forgues,O,185,1
31190000A,COMMUNE DE FOS ,2A01,Communes du bassin,31190,Fos,O,267,1
31315001B,S.I. EAUX ET ASSAINISSEMENT DES VALLEES DE L'ARBAS ET BAS SALAT,3D04,"Syndicat d'assainisement, eau potable",31191,Fougaron,O,90,1
31254002B,COMMUNAUTE D'AGGLOMERATION DU SICOVAL ,3H01,Communautés d'agglomérations,31192,Fourquevaux,O,794,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31193,Fousseret,O,1647,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31194,Francarville,O,170,1
31195000A,COMMUNE DE FRANCAZAL ,2A01,Communes du bassin,31195,Francazal,O,25,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31196,Francon,O,205,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31197,Franquevielle,O,357,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31198,Fréchet,O,118,1
31471001A,S.I. DES EAUX DE LA REGION DE ST BEAT ,3D04,"Syndicat d'assainisement, eau potable",31199,Fronsac,O,215,1
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31200,Frontignan de Comminges,O,69,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31201,Frontignan Savès,O,60,1
31202000A,COMMUNE DE FRONTON ,2A01,Communes du bassin,31202,Fronton,O,5455,1
31555052B,VEOLIA EAU - COMPAGNIE GENERALE DES EAUX ,9A01,Industriels,31202,Fronton,O,5455,0
31157001A,S.I.V.O.M. DE LA SAUDRUNE ,3D04,"Syndicat d'assainisement, eau potable",31203,Frouzins,O,7389,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31204,Fustignac,O,75,1
31555052B,VEOLIA EAU - COMPAGNIE GENERALE DES EAUX ,9A01,Industriels,31205,Gagnac sur Garonne,O,2959,1
09272001A,SYNDICAT MIXTE DEPARTEMENTAL EAU ASSAINISSEMENT DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31206,Gaillac Toulza,O,1196,1
31206001A,S.I. DES EAUX DE LA RIVE GAUCHE DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31206,Gaillac Toulza,O,1196,0
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31207,Galié,O,87,1
31315001B,S.I. EAUX ET ASSAINISSEMENT DES VALLEES DE L'ARBAS ET BAS SALAT,3D04,"Syndicat d'assainisement, eau potable",31208,Ganties,O,305,1
31351001A,S.I. DES EAUX DE LA VALLEE DE LA SAVE ET DES COTEAUX DE CADOURS,3D04,"Syndicat d'assainisement, eau potable",31209,Garac,O,167,1
31396001B,SYNDICAT INTERCOMMUNAL DES EAUX DES COTEAUX HERS-ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31210,Gardouch,O,1375,1
31490001A,S.I.A.E.P. DE LA REGION DE ST JORY CASTELNAU D'ESTRETEFONDS,3D04,"Syndicat d'assainisement, eau potable",31211,Gargas,O,614,1
31555052B,VEOLIA EAU - COMPAGNIE GENERALE DES EAUX ,9A01,Industriels,31212,Garidech,O,1562,1
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31213,Garin,O,139,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31215,Gauré,O,501,2
31555052B,VEOLIA EAU - COMPAGNIE GENERALE DES EAUX ,9A01,Industriels,31216,Gémil,O,270,1
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31217,Génos,O,96,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31218,Gensac de Boulogne,O,111,1
09272001A,SYNDICAT MIXTE DEPARTEMENTAL EAU ASSAINISSEMENT DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31219,Gensac sur Garonne,O,331,1
31396001B,SYNDICAT INTERCOMMUNAL DES EAUX DES COTEAUX HERS-ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31220,Gibel,O,280,1
31221000A,COMMUNE DE GOUAUX DE LARBOUST ,2A01,Communes du bassin,31221,Gouaux de Larboust,O,46,1
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31222,Gouaux de Luchon,O,46,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31223,Goudex,O,41,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31224,Gourdan Polignan,O,1581,1
09272001A,SYNDICAT MIXTE DEPARTEMENTAL EAU ASSAINISSEMENT DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31225,Goutevernisse,O,153,1
09272001A,SYNDICAT MIXTE DEPARTEMENTAL EAU ASSAINISSEMENT DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31226,Gouzens,O,101,1
31254002B,COMMUNAUTE D'AGGLOMERATION DU SICOVAL ,3H01,Communautés d'agglomérations,31227,Goyrans,O,911,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31228,Gragnague,O,1614,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31229,Gratens,O,684,1
31555052B,VEOLIA EAU - COMPAGNIE GENERALE DES EAUX ,9A01,Industriels,31230,Gratentour,O,3682,1
31206001A,S.I. DES EAUX DE LA RIVE GAUCHE DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31231,Grazac,O,505,1
31351001A,S.I. DES EAUX DE LA VALLEE DE LA SAVE ET DES COTEAUX DE CADOURS,3D04,"Syndicat d'assainisement, eau potable",31232,Grenade,O,7522,1
31490001A,S.I.A.E.P. DE LA REGION DE ST JORY CASTELNAU D'ESTRETEFONDS,3D04,"Syndicat d'assainisement, eau potable",31232,Grenade,O,7522,0
31555014C,LYONNAISE DES EAUX FRANCE ,9A01,Industriels,31232,Grenade,O,7522,0
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31232,Grenade,O,7522,0
31396001B,SYNDICAT INTERCOMMUNAL DES EAUX DES COTEAUX HERS-ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31233,Grépiac,O,995,1
31351001A,S.I. DES EAUX DE LA VALLEE DE LA SAVE ET DES COTEAUX DE CADOURS,3D04,"Syndicat d'assainisement, eau potable",31234,Grès,O,283,1
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31235,Guran,O,56,1
31315001B,S.I. EAUX ET ASSAINISSEMENT DES VALLEES DE L'ARBAS ET BAS SALAT,3D04,"Syndicat d'assainisement, eau potable",31236,Herran,O,73,1
31315001B,S.I. EAUX ET ASSAINISSEMENT DES VALLEES DE L'ARBAS ET BAS SALAT,3D04,"Syndicat d'assainisement, eau potable",31237,His,O,246,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31238,Huos,O,479,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31239,Isle en Dodon,O,2110,1
31254002B,COMMUNAUTE D'AGGLOMERATION DU SICOVAL ,3H01,Communautés d'agglomérations,31240,Issus,O,394,1
31020001A,SYNDICAT DES EAUX ET DE L'ASSAINISSEMENT DE LA VALLEE DU JOB,3D04,"Syndicat d'assainisement, eau potable",31241,Izaut de l'Hôtel,O,319,1
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31242,Jurvielle,O,20,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31243,Juzes,O,90,1
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31244,Juzet de Luchon,O,400,1
31020001A,SYNDICAT DES EAUX ET DE L'ASSAINISSEMENT DE LA VALLEE DU JOB,3D04,"Syndicat d'assainisement, eau potable",31245,Juzet d'Izaut,O,206,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31246,Labarthe Inard,O,864,1
31247001A,S.A.E.P. DE LA PLAINE DE RIVIERE ,3D04,"Syndicat d'assainisement, eau potable",31247,Labarthe Rivière,O,1359,1
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31247,Labarthe Rivière,O,1359,0
31421002A,S.I.V.O.M. PLAINE ARIEGE-GARONNE ,3D04,"Syndicat d'assainisement, eau potable",31248,Labarthe sur Lèze,O,4780,1
31254002B,COMMUNAUTE D'AGGLOMERATION DU SICOVAL ,3H01,Communautés d'agglomérations,31249,Labastide Beauvoir,O,1054,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31250,Labastide Clermont,O,661,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31251,Labastide Paumès,O,133,1
31555052B,VEOLIA EAU - COMPAGNIE GENERALE DES EAUX ,9A01,Industriels,31252,Labastide Saint Sernin,O,1771,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31253,Labastidette,O,2073,1
31254002B,COMMUNAUTE D'AGGLOMERATION DU SICOVAL ,3H01,Communautés d'agglomérations,31254,Labège,O,3627,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31255,Labroquère,O,333,1
31396001B,SYNDICAT INTERCOMMUNAL DES EAUX DES COTEAUX HERS-ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31256,Labruyère Dorsa,O,242,1
09272001A,SYNDICAT MIXTE DEPARTEMENTAL EAU ASSAINISSEMENT DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31258,Lacaugne,O,195,2
31254002B,COMMUNAUTE D'AGGLOMERATION DU SICOVAL ,3H01,Communautés d'agglomérations,31259,Lacroix Falgarde,O,2009,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31260,Laffite Toupière,O,82,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31261,Lafitte Vigordane,O,1087,1
31396001B,SYNDICAT INTERCOMMUNAL DES EAUX DES COTEAUX HERS-ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31262,Lagarde,O,300,1
31206001A,S.I. DES EAUX DE LA RIVE GAUCHE DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31263,Lagardelle sur Lèze,O,2483,1
31206001A,S.I. DES EAUX DE LA RIVE GAUCHE DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31264,Lagrâce Dieu,O,414,1
31351001A,S.I. DES EAUX DE LA VALLEE DE LA SAVE ET DES COTEAUX DE CADOURS,3D04,"Syndicat d'assainisement, eau potable",31265,Lagraulet Saint Nicolas,O,223,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31266,Lahage,O,240,1
09272001A,SYNDICAT MIXTE DEPARTEMENTAL EAU ASSAINISSEMENT DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31267,Lahitère,O,55,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31268,Lalouret Laffiteau,O,131,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31269,Lamasquère,O,1255,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31270,Landorthe,O,965,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31271,Lanta,O,1568,1
09272001A,SYNDICAT MIXTE DEPARTEMENTAL EAU ASSAINISSEMENT DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31272,Lapeyrère,O,80,1
31555052B,VEOLIA EAU - COMPAGNIE GENERALE DES EAUX ,9A01,Industriels,31273,Lapeyrouse Fossat,O,2658,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31274,Larcan,O,186,1
31351001A,S.I. DES EAUX DE LA VALLEE DE LA SAVE ET DES COTEAUX DE CADOURS,3D04,"Syndicat d'assainisement, eau potable",31275,Laréole,O,138,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31276,Larroque,O,313,1
31351001A,S.I. DES EAUX DE LA VALLEE DE LA SAVE ET DES COTEAUX DE CADOURS,3D04,"Syndicat d'assainisement, eau potable",31277,Lasserre,O,901,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31278,Latoue,O,310,1
09272001A,SYNDICAT MIXTE DEPARTEMENTAL EAU ASSAINISSEMENT DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31279,Latour,O,81,1
09272001A,SYNDICAT MIXTE DEPARTEMENTAL EAU ASSAINISSEMENT DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31280,Latrape,O,348,1
31351001A,S.I. DES EAUX DE LA VALLEE DE LA SAVE ET DES COTEAUX DE CADOURS,3D04,"Syndicat d'assainisement, eau potable",31281,Launac,O,1224,1
31555052B,VEOLIA EAU - COMPAGNIE GENERALE DES EAUX ,9A01,Industriels,31282,Launaguet,O,7040,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31283,Lautignac,O,283,1
31254002B,COMMUNAUTE D'AGGLOMERATION DU SICOVAL ,3H01,Communautés d'agglomérations,31284,Lauzerville,O,1201,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31285,Lavalette,O,641,1
31286001A,S.I. DES EAUX DE LAVELANET ET ST JULIEN ,3D04,"Syndicat d'assainisement, eau potable",31286,Lavelanet de Comminges,O,562,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31287,Lavernose Lacasse,O,2645,1
31288001A,S.I. DES EAUX DE LA RIVE DROITE DU TARN ,3D04,"Syndicat d'assainisement, eau potable",31288,Layrac sur Tarn,O,328,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31289,Lécussan,O,296,1
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31290,Lège,O,43,1
31291000A,COMMUNE DE LEGUEVIN ,2A01,Communes du bassin,31291,Léguevin,O,8044,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31292,Lescuns,O,54,1
31555052B,VEOLIA EAU - COMPAGNIE GENERALE DES EAUX ,9A01,Industriels,31293,Lespinasse,O,2464,1
31555472A,COMMUNAUTE URBAINE TOULOUSE METROPOLE ,3G01,Communautés urbaines,31293,Lespinasse,O,2464,0
31020001A,SYNDICAT DES EAUX ET DE L'ASSAINISSEMENT DE LA VALLEE DU JOB,3D04,"Syndicat d'assainisement, eau potable",31294,Lespiteau,O,85,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31295,Lespugue,O,74,1
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31296,Lestelle de Saint Martory,O,410,1
31351001A,S.I. DES EAUX DE LA VALLEE DE LA SAVE ET DES COTEAUX DE CADOURS,3D04,"Syndicat d'assainisement, eau potable",31297,Lévignac,O,2075,1
31471001A,S.I. DES EAUX DE LA REGION DE ST BEAT ,3D04,"Syndicat d'assainisement, eau potable",31298,Lez,O,61,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31299,Lherm,O,3333,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31300,Lieoux,O,125,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31301,Lilhac,O,135,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31302,Lodes,O,282,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31303,Longages,O,2578,1
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31304,Loubens Lauragais,O,401,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31305,Loudet,O,242,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31306,Lourde,O,100,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31307,Lunax,O,60,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31308,Luscan,O,65,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31309,Lussan Adeilhac,O,216,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31309,Lussan Adeilhac,O,216,0
31106001A,S.I.E. DE LA MONTAGNE NOIRE ,3D04,"Syndicat d'assainisement, eau potable",31310,Lux,O,331,1
31555052B,VEOLIA EAU - COMPAGNIE GENERALE DES EAUX ,9A01,Industriels,31311,Magdelaine sur Tarn,O,1006,1
09272001A,SYNDICAT MIXTE DEPARTEMENTAL EAU ASSAINISSEMENT DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31312,Mailholas,O,41,1
31555272H,SYNDICAT MIXTE DE L'EAU ET DE L'ASSAINISSEMENT DE LA HAUTE-GARONNE,3D04,"Syndicat d'assainisement, eau potable",31313,Malvezie,O,124,1
31314000A,COMMUNE DE MANCIOUX ,2A01,Communes du bassin,31314,Mancioux,O,431,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31314,Mancioux,O,431,0
31315001B,S.I. EAUX ET ASSAINISSEMENT DES VALLEES DE L'ARBAS ET BAS SALAT,3D04,"Syndicat d'assainisement, eau potable",31315,Mane,O,1032,1
31471001A,S.I. DES EAUX DE LA REGION DE ST BEAT ,3D04,"Syndicat d'assainisement, eau potable",31316,Marignac,O,535,1
31454001A,S.I. DES EAUX DES COTEAUX DU TOUCH,3D04,"Syndicat d'assainisement, eau potable",31317,Marignac Lasclares,O,364,1
31585002A,S.E.M. PYRENEES SERVICES PUBLICS ,9G01,Société d'économie mixte,31318,Marignac Laspeyres,O,177,1
31206001A,S.I. DES EAUX DE LA RIVE GAUCHE DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31319,Marliac,O,105,1
09272001A,SYNDICAT MIXTE DEPARTEMENTAL EAU ASSAINISSEMENT DE L'ARIEGE,3D04,"Syndicat d'assainisement, eau potable",31320,Marquefave,O,1097,1
