city_code,city_name,population,lat,lng,public_gestion,price
31189, Forgues ,185,43.433333,1.05,1,1.424
31190, Fos ,267,42.866667,0.733333,1,0
31191, Fougaron ,90,42.983333,0.933333,1,1.197
31192, Fourquevaux ,794,43.5,1.616667,1,1.532
31193, Le Fousseret ,1647,43.283333,1.066667,1,1.424
31194, Francarville ,170,43.6,1.75,1,1.325
31195, Francazal ,25,43.016667,1.033333,1,0
31196, Francon ,205,43.266667,0.966667,0,1.342
31197, Franquevielle ,357,43.133333,0.533333,0,1.342
31198, Le Fréchet ,118,43.183333,0.933333,0,1.342
31199, Fronsac ,215,42.95,0.65,1,1.224
31200, Frontignan-de-Comminges ,69,42.966667,0.65,1,0.9
31201, Frontignan-Savès ,60,43.4,0.916667,0,1.342
31202, Fronton ,5455,43.85,1.4,1,0.0
31203, Frouzins ,7389,43.516667,1.316667,1,0
31204, Fustignac ,75,43.3,0.983333,1,1.424
31205, Gagnac-sur-Garonne ,2959,43.7,1.366667,0,1.115
31206, Gaillac-Toulza ,1196,43.25,1.466667,1,1.3
31207, Galié ,87,42.983333,0.633333,0,1.342
31208, Ganties ,305,43.066667,0.833333,1,1.197
31209, Garac ,167,43.7,1.1,1,1.413
31210, Gardouch ,1375,43.383333,1.683333,1,0
31211, Gargas ,614,43.716667,1.466667,1,1.6
31212, Garidech ,1562,43.716667,1.566667,0,1.726
31213, Garin ,139,42.816667,0.516667,1,0
31215, Gauré ,501,43.616667,1.616667,1,1.325
31216, Gémil ,270,43.733333,1.6,0,1.726
31217,Génos,96,43,0.666667,1,1.165
31218, Gensac-de-Boulogne ,111,43.25,0.583333,0,1.342
31219, Gensac-sur-Garonne ,331,43.216667,1.133333,1,1.3
31220, Gibel ,280,43.3,1.666667,1,0
31221, Gouaux-de-Larboust ,46,42.8,0.483333,1,0
31222, Gouaux-de-Luchon ,46,42.85,0.616667,1,0
31223, Goudex ,41,43.366667,0.95,0,1.342
31224, Gourdan-Polignan ,1581,43.066667,0.583333,0,1.342
31225, Goutevernisse ,153,43.216667,1.183333,1,1.3
31226, Gouzens ,101,43.183333,1.183333,1,1.3
31227, Goyrans ,911,43.483333,1.433333,1,1.532
31228, Gragnague ,1614,43.683333,1.583333,1,1.325
31229, Gratens ,684,43.316667,1.116667,1,1.424
31230, Gratentour ,3682,43.716667,1.433333,0,1.115
31233, Grépiac ,995,43.4,1.433333,1,0
31234, Le Grès ,283,43.733333,1.1,1,1.413
31235, Guran ,56,42.883333,0.616667,1,0
31236, Herran ,73,42.966667,0.916667,1,1.197
31237, His ,246,43.066667,0.966667,1,1.197
31238, Huos ,479,43.066667,0.6,0,1.342
31239, L'Isle-en-Dodon ,2110,43.383333,0.85,0,1.342
31240, Issus ,394,43.416667,1.5,1,1.532
31241, Izaut-de-l'Hôtel ,319,43.016667,0.75,1,1.112
31242, Jurvielle ,20,42.816667,0.483333,1,0
31243, Juzes ,90,43.45,1.8,1,1.325
31244, Juzet-de-Luchon ,400,42.816667,0.616667,1,0
31245, Juzet-d'Izaut ,206,42.983333,0.75,1,1.112
31246, Labarthe-Inard ,864,43.116667,0.85,0,1.342
31247, Labarthe-Rivière ,1359,43.083333,0.666667,1,1.07
31248, Labarthe-sur-Lèze ,4780,43.45,1.4,1,1.366
31249, Labastide-Beauvoir ,1054,43.483333,1.666667,1,1.532
31250, Labastide-Clermont ,661,43.35,1.116667,1,1.424
31251, Labastide-Paumès ,133,43.333333,0.933333,0,1.342
31252, Labastide-Saint-Sernin ,1771,43.733333,1.466667,0,1.115
31253, Labastidette ,2073,43.45,1.266667,1,1.424
31254, Labège ,3627,43.533333,1.533333,1,1.532
31255, Labroquère ,333,43.033333,0.6,0,1.342
31256, Labruyère-Dorsa ,242,43.4,1.483333,1,0
31258, Lacaugne ,195,43.283333,1.266667,1,1.3
31259, Lacroix-Falgarde ,2009,43.5,1.416667,1,1.532
