Departement,CodeINSEE,Nom commune,prix
31,31254,LABEGE                                            ,1.532
31,31255,LABROQUERE                                        ,1.342
31,31258,LACAUGNE                                          ,1.3
31,31259,LACROIX-FALGARDE                                  ,1.532
31,31260,LAFFITE-TOUPIERE                                  ,1.342
31,31261,LAFITTE-VIGORDANE                                 ,1.424
31,31265,LAGRAULET-SAINT-NICOLAS                           ,1.413
31,31266,LAHAGE                                            ,1.424
31,31267,LAHITERE                                          ,1.3
31,31268,LALOURET-LAFFITEAU                                ,1.342
31,31269,LAMASQUERE                                        ,1.424
31,31270,LANDORTHE                                         ,1.342
31,31271,LANTA                                             ,1.325
31,31272,LAPEYRERE                                         ,1.3
31,31273,LAPEYROUSE-FOSSAT                                 ,1.115
31,31274,LARCAN                                            ,1.342
31,31275,LAREOLE                                           ,1.413
31,31276,LARROQUE                                          ,1.342
31,31277,LASSERRE                                          ,1.413
31,31278,LATOUE                                            ,1.342
31,31279,LATOUR                                            ,1.3
31,31280,LATRAPE                                           ,1.3
31,31281,LAUNAC                                            ,1.413
31,31282,LAUNAGUET                                         ,1.115
31,31283,LAUTIGNAC                                         ,1.424
31,31284,LAUZERVILLE                                       ,1.532
31,31285,LAVALETTE                                         ,1.325
31,31286,LAVELANET-DE-COMMINGES                            ,1.499
31,31287,LAVERNOSE-LACASSE                                 ,1.424
31,31288,LAYRAC-SUR-TARN                                   ,2.136
31,31289,LECUSSAN                                          ,1.342
31,31290,LEGE                                              ,0.717
31,31291,LEGUEVIN                                          ,1.13
31,31292,LESCUNS                                           ,1.342
31,31293,LESPINASSE                                        ,1.115
31,31294,LESPITEAU                                         ,1.112
31,31295,LESPUGUE                                          ,1.342
31,31296,LESTELLE-DE-SAINT-MARTORY                         ,1.237
31,31297,LEVIGNAC                                          ,1.413
31,31298,LEZ                                               ,1.224
31,31299,LHERM                                             ,1.424
31,31300,LIEOUX                                            ,1.342
31,31301,LILHAC                                            ,1.342
31,31302,LODES                                             ,1.342
31,31303,LONGAGES                                          ,1.424
31,31304,LOUBENS-LAURAGAIS                                 ,1.325
31,31305,LOUDET                                            ,1.342
31,31306,LOURDE                                            ,1.342
31,31307,LUNAX                                             ,1.342
31,31308,LUSCAN                                            ,1.342
31,31309,LUSSAN-ADEILHAC                                   ,1.424
31,31310,LUX                                               ,1.325
31,31311,LA MAGDELAINE-SUR-TARN                            ,1.726
31,31312,MAILHOLAS                                         ,1.3
31,31313,MALVEZIE                                          ,1.165
31,31314,MANCIOUX                                          ,1.242
31,31315,MANE                                              ,1.197
31,31316,MARIGNAC                                          ,1.224
31,31317,MARIGNAC-LASCLARES                                ,1.424
31,31318,MARIGNAC-LASPEYRES                                ,1.342
31,31320,MARQUEFAVE                                        ,1.3
31,31321,MARSOULAS                                         ,1.197
31,31322,MARTISSERRE                                       ,1.342
31,31323,MARTRES-DE-RIVIERE                                ,1.07
31,31324,MARTRES-TOLOSANE                                  ,1.342
31,31325,MASCARVILLE                                       ,1.325
31,31326,MASSABRAC                                         ,1.3
31,31327,MAURAN                                            ,1.092
31,31328,MAUREMONT                                         ,1.325
31,31329,MAURENS                                           ,1.325
31,31331,MAUREVILLE                                        ,1.325
31,31333,MAUVEZIN                                          ,1.342
31,31334,MAUZAC                                            ,1.3
31,31336,MAZERES-SUR-SALAT                                 ,1.197
31,31338,MENVILLE                                          ,1.413
31,31339,MERENVIELLE                                       ,1.413
31,31340,MERVILLA                                          ,1.532
31,31341,MERVILLE                                          ,1.413
31,31343,MIRAMBEAU                                         ,1.342
31,31346,MIREPOIX-SUR-TARN                                 ,2.136
31,31347,MOLAS                                             ,1.342
31,31349,MONDAVEZAN                                        ,1.424
31,31350,MONDILHAN                                         ,1.342
31,31351,MONDONVILLE                                       ,1.397
31,31352,MONDOUZIL                                         ,1.325
31,31353,MONES                                             ,1.424
31,31355,MONS                                              ,1.325
31,31356,MONTAIGUT-SUR-SAVE                                ,1.413
31,31357,MONTASTRUC-DE-SALIES                              ,1.197
31,31358,MONTASTRUC-LA-CONSEILLERE                         ,1.726
31,31359,MONTASTRUC-SAVES                                  ,1.424
31,31361,MONTAUT                                           ,1.3
31,31362,MONTBERAUD                                        ,1.3
31,31363,MONTBERNARD                                       ,1.342
31,31364,MONTBERON                                         ,1.115
31,31365,MONTBRUN-BOCAGE                                   ,1.3
31,31365,MONTBRUN-BOCAGE                                   ,1.3
31,31366,MONTBRUN-LAURAGAIS                                ,1.532
31,31369,MONT-DE-GALIE                                     ,1.342
31,31370,MONTEGUT-BOURJAC                                  ,1.424
31,31371,MONTEGUT-LAURAGAIS                                ,1.325
31,31372,MONTESPAN                                         ,1.197
31,31373,MONTESQUIEU-GUITTAUT                              ,1.342
31,31375,MONTESQUIEU-VOLVESTRE                             ,1.3
31,31376,MONTGAILLARD-DE-SALIES                            ,1.197
31,31377,MONTGAILLARD-LAURAGAIS                            ,1.325
31,31378,MONTGAILLARD-SUR-SAVE                             ,1.342
31,31379,MONTGAZIN                                         ,1.3
31,31381,MONTGISCARD                                       ,1.532
31,31382,MONTGRAS                                          ,1.424
31,31383,MONTJOIRE                                         ,1.726
31,31384,MONTLAUR                                          ,1.532
31,31385,MONTMAURIN                                        ,1.342
31,31386,MONTOULIEU-SAINT-BERNARD                          ,1.342
31,31387,MONTOUSSIN                                        ,1.424
31,31388,MONTPITOL                                         ,1.726
31,31389,MONTRABE                                          ,1.325
31,31390,MONTREJEAU                                        ,1.342
31,31391,MONTSAUNES                                        ,1.197
31,31392,MOURVILLES-BASSES                                 ,1.325
31,31393,MOURVILLES-HAUTES                                 ,1.325
31,31395,MURET                                             ,1.195
31,31397,NENIGAN                                           ,1.342
31,31398,NIZAN-GESSE                                       ,1.342
31,31400,NOGARET                                           ,1.325
31,31401,NOUEILLES                                         ,1.532
31,31402,ODARS                                             ,1.532
31,31405,ORE                                               ,1.342
31,31406,PALAMINY                                          ,1.092
31,31407,PAULHAC                                           ,1.726
31,31408,PAYSSOUS                                          ,1.112
31,31409,PECHABOU                                          ,1.532
31,31410,PECHBONNIEU                                       ,1.115
31,31411,PECHBUSQUE                                        ,1.532
31,31412,PEGUILHAN                                         ,1.342
31,31413,PELLEPORT                                         ,1.413
31,31414,PEYRISSAS                                         ,1.342
31,31415,PEYROUZET                                         ,1.342
31,31416,PEYSSIES                                          ,1.424
31,31417,PIBRAC                                            ,0.983
31,31418,PIN-BALMA                                         ,1.325
31,31419,LE PIN-MURELET                                    ,1.424
31,31420,PINSAGUEL                                         ,1.366
31,31421,PINS-JUSTARET                                     ,1.366
31,31423,PLAGNOLE                                          ,1.424
31,31424,PLAISANCE-DU-TOUCH                                ,0.953
31,31425,LE PLAN                                           ,1.3
31,31427,POINTIS-INARD                                     ,1.197
31,31428,POLASTRON                                         ,1.424
31,31429,POMPERTUZAT                                       ,1.532
31,31430,PONLAT-TAILLEBOURG                                ,1.342
31,31433,PORTET-SUR-GARONNE                                ,1.398
31,31435,POUCHARRAMET                                      ,1.424
31,31436,POUY-DE-TOUGES                                    ,1.424
31,31437,POUZE                                             ,1.532
31,31438,PRADERE-LES-BOURGUETS                             ,1.413
31,31439,PRESERVILLE                                       ,1.325
31,31440,PROUPIARY                                         ,1.342
31,31441,PRUNET                                            ,1.325
31,31443,PUYMAURIN                                         ,1.342
31,31444,PUYSSEGUR                                         ,1.413
31,31445,QUINT-FONSEGRIVES                                 ,1.505
31,31446,RAMONVILLE-SAINT-AGNE                             ,1.532
31,31448,REBIGUE                                           ,1.532
31,31449,REGADES                                           ,1.112
31,31452,RIEUCAZE                                          ,1.112
31,31453,RIEUMAJOU                                         ,1.325
31,31454,RIEUMES                                           ,1.424
31,31455,RIEUX                                             ,1.3
31,31456,RIOLAS                                            ,1.342
31,31458,ROQUES                                            ,1.398
31,31459,ROQUESERIERE                                      ,1.726
31,31460,ROQUETTES                                         ,1.366
31,31461,ROUEDE                                            ,1.197
31,31462,ROUFFIAC-TOLOSAN                                  ,1.115
31,31463,ROUMENS                                           ,1.325
31,31464,SABONNERES                                        ,1.424
31,31465,SACCOURVIELLE                                     ,0.633
31,31466,SAIGUEDE                                          ,1.424
31,31467,SAINT-ALBAN                                       ,1.115
31,31468,SAINT-ANDRE                                       ,1.342
31,31469,SAINT-ARAILLE                                     ,1.342
31,31471,SAINT-BEAT                                        ,1.224
31,31472,SAINT-BERTRAND-DE-COMMINGES                       ,1.342
31,31473,SAINT-CEZERT                                      ,1.413
31,31474,SAINT-CHRISTAUD                                   ,1.3
31,31475,SAINT-CLAR-DE-RIVIERE                             ,1.424
31,31476,SAINT-ELIX-LE-CHATEAU                             ,1.424
31,31477,SAINT-ELIX-SEGLAN                                 ,1.342
31,31478,SAINT-FELIX-LAURAGAIS                             ,1.325
31,31479,SAINT-FERREOL-DE-COMMINGES                        ,1.342
31,31480,SAINTE-FOY-D'AIGREFEUILLE                         ,1.325
31,31481,SAINTE-FOY-DE-PEYROLIERES                         ,1.424
31,31482,SAINT-FRAJOU                                      ,1.342
31,31483,SAINT-GAUDENS                                     ,1.342
31,31484,SAINT-GENIES-BELLEVUE                             ,1.115
31,31485,SAINT-GERMIER                                     ,1.325
31,31486,SAINT-HILAIRE                                     ,1.424
31,31487,SAINT-IGNAN                                       ,1.342
31,31488,SAINT-JEAN                                        ,1.115
31,31489,SAINT-JEAN-LHERM                                  ,1.726
