Y2RfQVNWRUMwMDF8MjAxMQ==,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",ASVEC ASSOCIATION SPORT VIE EDUCATION CULTURE,Associations, ,31057,TOULOUSE,81000,0,0
Y2RfU0NSSUJFMDAyfDIwMTE=,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",ATELIER DU SCRIBE,Associations,8 RUE MIREILLE SORGUE,31100,TOULOUSE,6000,0,0
Y2RfQVVESU8wMDR8MjAxMQ==,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",AUDIO ET VISUEL,Associations,19 CHEMINEMENT EDGARD VARESE,31100,TOULOUSE,20000,0,0
Y2RfTUFJU09OMDAyfDIwMTE=,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",AVENIR NOUVELLE MAISON DES CHOMEURS,Associations,115 RUE BONNAT,31400,TOULOUSE,38500,0,0
Y2RfQUNDVUVJTDAwMnwyMDEx,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",AVF ACCUEIL DES VILLES FRANCAISES,Associations,43 PL DES CARMES,31000,TOULOUSE,3200,0,0
Y2RfQkFMTEgwMDF8MjAxMQ==,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",BALLH,Associations,34 ALLEES DE BARCELONE,31000,TOULOUSE,800,0,0
Y2RfQkVMTEFSQzAwMXwyMDEx,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",BELL ARC EN CIEL,Associations,14 PASSAGE GEORGES DUHAMEL,31100,TOULOUSE,9000,0,0
Y2RfQklDMDAxfDIwMTE=,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",BIC BOULES IZARDS CLUB,Associations,13 RUE DES CHAMOIS,31200,TOULOUSE,1000,0,0
Y2RfQklFTlZJVjAwMnwyMDEx,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",BIEN VIVRE A ST AUBIN,Associations,85 rue Colombette,31000,TOULOUSE,1500,0,0
Y2RfQkxBTkRJTjAwMXwyMDEx,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",BLANDINIERES GILLES,Personnes Physiques, RTE LACAUGNE,31390,CARBONNE,0,0,1268
Y2RfT1JBTkdFMDAyfDIwMTE=,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",BLEUE COMME UNE ORANGE,Associations,36 RUE BERNARD MULE,31400,TOULOUSE,10500,0,0
Y2RfQk9VTEVTMDAxfDIwMTE=,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",BOULES RAPHAEL PARC,Associations,7 CHEMINEMENT SYLVESTRE CLERC,31200,TOULOUSE,3000,0,0
Y2RfQk9VWklHTjAwMnwyMDEx,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",BOUZIGNAC DANY,Personnes Physiques,41 RUE NOYERS,31700,BLAGNAC,0,0,1848
Y2RfQlJJRU5ORTAwNHwyMDEx,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",BRIENNE BAZACLE AMIDONNIERS,Associations,2 PORT DE L EMBOUCHURE,31000,TOULOUSE,1000,0,0
Y2RfREFMQVMwMDF8MjAxMQ==,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",CABINET DALAS,Entreprises,9 RUE FALGUIERES,31000,TOULOUSE,0,0,13021
Y2RfQ0FOQUxBUjAwMXwyMDEx,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",CANALART,Associations,6 RUE GARCIA LORCA,31520,RAMONVILLE ST AGNE,11375,0,0
Y2RfQ0FaRVMwMTV8MjAxMQ==,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",CAZES IMMOBILIER,Entreprises,20 PL CAPITOLE,31012,TOULOUSE,0,0,1843
Y2RfQ0NJVDAwMXwyMDEx,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",CCIT CHAMBRE COMMERCE INDUSTRIE DE TOULOUSE,Autres personnes de droit privé,2 RUE ALSACE LORRAINE,31002,TOULOUSE,86126,0,0
Y2RfQ0NOQUFUMDAxfDIwMTE=,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",CCNAAT COLLECTIF CONTRE LES NUISANCES AERIENNES,Associations,32 AVENUE LAMARTINE,31100,TOULOUSE,1000,0,0
Y2RfTUFHSFJFQjAwM3wyMDEx,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",CEMMP CLUB EUROPE MAGHREB MIDI-PYRENEES,Associations, RUE AMPERE,31312,LABEGE,16000,0,0
Y2RfQVJUUzAxNHwyMDEx,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",CENTRE DES ARTS URBAINS,Associations,53 RUE DE LA FAOURETTE,31100,TOULOUSE,5000,0,0
Y2RfQ0VQSUVSRTAwMXwyMDEx,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",CEPIERE ACCUEIL JEUNES,Associations,21 RUE NORBERT CASTERET,31300,TOULOUSE,95000,0,0
Y2RfTVlDT0xPRzAwMnwyMDEx,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",CERCLE MYCOLOGIQUE TOULOUSE TERRASSE,Associations,49 RUE JONAS,31200,TOULOUSE,500,0,0
Y2RfQ0VSTUUwMDF8MjAxMQ==,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",CERME - CENTRE RECHERCHE ET DE MEDIATION,Associations,32 RUE MARCHANDS,31000,TOULOUSE,9000,0,0
Y2RfQ0ZBQjAwMXwyMDEx,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",CFAB COMITE FETES ARNAUD BERNARD,Associations,1 RUE GRAMAT,31000,TOULOUSE,5000,0,0
Y2RfQ0dQSTAwMXwyMDEx,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",CGPI SOGAB,Entreprises,38 RUE DES MARCHANDS,31000,TOULOUSE,0,0,2846
Y2RfQ0hJQ0hFMDA1fDIwMTE=,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",CHICHE,Entreprises,9 RUE HUGUES DE PALAYS,31450,ODARS,0,0,1687
Y2RfTElBSVNPTjAwMnwyMDEx,2011,"AMENAGEMENT ET SERVICE URBAINS, ENVIRONNEMENT",CLAP COMITE DE LIAISON POUR ALPHABETISATION ET PROMOTION,Associations,21 PLACE SAINT SERNIN,31000,TOULOUSE,41750,0,0
